Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44779.87291,Yes,25 - 34,Married,University education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Own the property,North East,To have my own business,No,Yes,Microfinance Banks,Microfinance Banks,To expand your current business,Micro financing,Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Interest rates, Fees and service charge, Convenience and customer service",Mobile app,To repay,Social media,Female,fxennjs
44781.88942,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,Lagos,To generate multiple sources of income,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Micro financing,High interest rates,Bank statement,I don’t have a barrier,"Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,GT Quick Credit ,Social media,Male,uqpwjid
44779.72453,Yes,25 - 34,Single,Post-graduate education,Not working,"N0 - N50,000",Myself only,None,Rent the property,Lagos,"To be able to invest, To pay my fees, To generate multiple sources of income, To secure my finances",No,No,Microfinance Banks,None,To pay for a medical need,"Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, The risk of getting into debt",Home address,"Fear of debt, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Agent-led onboarding, Interest rates, Fees and service charge, Convenience and customer service, Longevity in the market, Security, trust, and discretion",Mobile app,Irorun,Social media,Male,5qx3ar0
44781.02504,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,Children under the age of 18,Rent the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,Yes,"Microfinance Banks, Digital Lenders","Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To expand your current business","Formal loan from a commercial bank, Micro financing","High interest rates, The risk of getting into debt","Salary details, Bank statement","Fear of debt, The instability of the economy, Fear of not having money to repay the loan","Interest rates, Brand of the lender, Longevity in the market, Security, trust, and discretion",Branch,Irorun,"Word of mouth referrals, Advertising, Social media",Female,qi5an7i
44780.62129,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Parents,Live with parents or guardian,North East,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income, To leave Nigeria",No,Yes,"Money Lenders, Digital Lenders",Money Lenders,"To pay for a medical need, To pay for school fees, To expand your current business","Digital lenders, Informal lenders",Getting approval for the loan,"Home address, Bank statement, Guarantor details",I don’t have a barrier,"Brand of the lender, Convenience and customer service, Financial stability",Mobile app,Irorun,Social media,Male,gvlq6ab
44780.72774,Yes,18 - 24,Single,Post-graduate education,Part-time employed,"N100,000 - N300,000",Myself only,Children under the age of 18,Own the property,Abuja,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To invest more than I am already investing, To secure my finances",No,Yes,Microfinance Banks,Microfinance Banks,"To expand your current business, For cash flow","Micro financing, Digital lenders","High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","The instability of the economy, Lack of the requirements to take out loan","Speed, Convenience and customer service, Longevity in the market, Financial stability",Website,Micro finance,Social media,Male,yeolowt
44780.51573,Yes,25 - 34,Married,University education,Self-employed,"N0 - N50,000",Myself only,Children under the age of 18,Own the property,North Central,To have my own business,No,Yes,Money Lenders,Money Lenders,To pay for a medical need,Formal loan from a commercial bank,The risk of getting into debt,Home address,Fear of debt,"Speed, Digital onboarding and experience, Fees and service charge",Mobile app,Easy money ,Direct marketing,Male,9u08tv4
44779.72458,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,South West,To have my own business,Yes,No,Money Lenders,None,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Micro financing","High interest rates, Getting approval for the loan",Work information,Fear of debt,"Interest rates, Financial stability, Financial assistance and coaching",Mobile app,Irorun,Social media,Male,j315n2iydz
44780.73747,Yes,25 - 34,Single,Post-graduate education,Part-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,Lagos,"To be able to invest, To invest more than I am already investing, To buy my first property, To secure my finances, To leave Nigeria",No,Yes,"Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Family and friends","Providing collateral, Getting approval for the loan","Work information, Salary details, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge",Mobile app,Mobile app ,Advertising,Male,cn1kyakrgo
44782.53946,Yes,25 - 34,Single,College education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Live rent-free,South West,"To grow my current business, To be able to invest, To invest more than I am already investing, To generate multiple sources of income",No,Yes,"Commercial Banks, Money Lenders","Commercial Banks, Digital Lenders",To expand your current business,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Guarantor details","Fear of debt, Fear of being embarrassed by the lender","Interest rates, Fees and service charge, Longevity in the market",Mobile app,Fair money ,"Advertising, Social media",Male,0phyc93
44779.70045,Yes,18 - 24,Single,Secondary education,Student,"N0 - N50,000",My parents make the decision,Parents,Live with parents or guardian,Lagos,To have my own business,Yes,Yes,Microfinance Banks,Microfinance Banks,To start a new business,Family and friends,The risk of getting into debt,"Home address, Work information, Bank statement, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge, Longevity in the market, Financial stability, Security, trust, and discretion",Mobile app,Okash,Direct marketing,Male,26okwv8
44779.69861,Yes,25 - 34,Single,Post-graduate education,Full-time employed,"N100,000 - N300,000",Myself only,Parents,Own the property,North Central,"To have my own business, To be able to invest, To generate multiple sources of income",Yes,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Formal loan from a commercial bank,Onboarding process,"Salary details, Bank statement, Guarantor details",The instability of the economy,"Interest rates, Financial stability, Security, trust, and discretion",Mobile app,Smedan,"Advertising, Social media",Male,55xjltl
44780.91291,Yes,25 - 34,Single,Post-graduate education,Full-time employed,"N500,000 - N1,000,000",Myself only,None,Live with parents or guardian,Lagos,To buy my first property,No,Yes,"Commercial Banks, Microfinance Banks, Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Micro financing",Onboarding process,"Home address, Work information, Salary details, Bank statement",I don’t have a barrier,"Speed, Digital onboarding and experience, Convenience and customer service",Mobile app,Sparta Capital,Word of mouth referrals,Male,jxvwp46
44780.40523,Yes,25 - 34,Single,University education,Student,"N50,000 - N100,000",My parents make the decision,Parents,Rent the property,Lagos,"To have my own business, To be able to invest, To generate multiple sources of income",No,Yes,Digital Lenders,Digital Lenders,To expand your current business,"Formal loan from a commercial bank, Digital lenders",The risk of getting into debt,Home address,Fear of not having money to repay the loan,Interest rates,Mobile app,Sophisticated brand witb good services ,Advertising,Male,mi90ds9
44779.72615,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",Myself only,Children under the age of 18,Rent the property,Abuja,"To grow my current business, To be able to invest, To pay my rent, To buy my first property, To secure my finances",Yes,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Money Lenders, Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, For cash flow","Formal loan from a commercial bank, Micro financing, Digital lenders","Onboarding process, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Agent-led onboarding, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,"Advertising, Social media",Male,i87lu38
44779.76045,Yes,25 - 34,Married,University education,Part-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,North Central,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,"Informal Lenders (Ajo, Corporative), Digital Lenders","Money Lenders, Digital Lenders","To pay for school fees, To buy a phone or laptop, To start a new business, To expand your current business, For cash flow",Digital lenders,"Onboarding process, Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Fees and service charge, Brand of the lender",Mobile app,"Fairmony, carbon","Advertising, Social media",Male,8sez223
44779.9159,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",My parents make the decision,None,Live with parents or guardian,Abuja,"To increase the number of personal assets I own, To be able to invest, To secure my finances",Yes,Yes,"Commercial Banks, Microfinance Banks, Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, For cash flow",Micro financing,"High interest rates, The risk of getting into debt","Bank statement, Guarantor details",Fear of debt,"Interest rates, Convenience and customer service, Financial assistance and coaching",Mobile app,Migo ,Social media,Male,q312l3u
44779.7573,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Live rent-free,Lagos,"To have my own business, To be able to invest, To secure my finances",No,No,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",None,"To start a new business, To expand your current business","Formal loan from a commercial bank, Micro financing","Onboarding process, High interest rates, Getting approval for the loan","Home address, Salary details","Lack of knowledge, e.g. I don’t know how to, Fear of debt, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Convenience and customer service",Website,Irorun,"Direct marketing, Social media",Male,0yfp9r9
44779.68876,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,"To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income",No,Yes,"Microfinance Banks, Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To pay for a medical need","Formal loan from a commercial bank, Micro financing",High interest rates,"Salary details, Bank statement",I don’t have a barrier,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Irorun,Word of mouth referrals,Male,97h5vq8
44780.74214,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,South South,"To have my own business, To be able to invest, To invest more than I am already investing",Yes,No,Finance Houses,None,To start a new business,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt","Work information, Salary details","The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge, Longevity in the market, Financial assistance and coaching",Branch,Lapo,Face to face,Male,5pi20mh
44781.97672,Yes,25 - 34,Married,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Abuja,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,"Commercial Banks, Finance Houses, Digital Lenders",Commercial Banks,To meet a cash gap before next pay day,Formal loan from a commercial bank,"Providing collateral, High interest rates","Work information, Bank statement","Fear of debt, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Interest rates, Brand of the lender, Longevity in the market, Security, trust, and discretion",Mobile app,Carbon,"Word of mouth referrals, Advertising",Female,80sc3py
44781.0133,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,Parents,Rent the property,Lagos,To have my own business,No,No,"Microfinance Banks, Informal Lenders (Ajo, Corporative)",None,To start a new business,Digital lenders,Getting approval for the loan,Bank statement,I don’t have a barrier,"Speed, Digital onboarding and experience, Interest rates, Convenience and customer service, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,Social media,Male,sswevc8
44779.77899,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Own the property,North West,"To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,Yes,Commercial Banks,"Commercial Banks, Money Lenders","To meet a cash gap before next pay day, To pay for a medical need","Formal loan from a commercial bank, Micro financing, Digital lenders","Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",Lack of the requirements to take out loan,"Speed, Digital onboarding and experience, Interest rates",Mobile app,Carbon ,"Advertising, Social media",Male,b85d7az
44781.17488,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,Other dependents (other than those listed above),Rent the property,South South,To generate multiple sources of income,No,Yes,"Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, Getting approval for the loan","Home address, Bank statement, Guarantor details",I don’t have a barrier,"Fees and service charge, Convenience and customer service, Security, trust, and discretion",Website,Irorun,"Advertising, Direct marketing",Male,97iqxrz29x
44781.3684,Yes,18 - 24,Single,Secondary education,Student,"N0 - N50,000",Myself only,Partner/Spouse,Live with parents or guardian,South South,To be able to invest,No,Yes,Microfinance Banks,Microfinance Banks,To pay for school fees,Digital lenders,"High interest rates, The risk of getting into debt",Home address,"Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,Irorun ,Direct marketing,Male,n4m4j0c48e
44779.69314,Yes,25 - 34,Single,University education,Self-employed,"N300,000 - N500,000",Myself only,Children 18yrs and older,Own the property,Lagos,"To grow my current business, To generate multiple sources of income, To leave Nigeria",No,Yes,"Commercial Banks, Digital Lenders","Money Lenders, Digital Lenders","To meet a cash gap before next pay day, To expand your current business",Formal loan from a commercial bank,"Onboarding process, Getting approval for the loan","Home address, Work information, Bank statement","Fear of debt, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Interest rates, Fees and service charge",Mobile app,Renmoney and Lendigo,"Word of mouth referrals, Advertising, Social media",Male,ljzsfwovc8
44779.72016,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,None,Rent the property,Abuja,"To have my own business, To be able to invest, To pay my rent, To pay my fees, To secure my finances",No,Yes,"Commercial Banks, Microfinance Banks, Digital Lenders","Digital Lenders, Informal Lenders (Ajo, Corporative)",To meet a cash gap before next pay day,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Salary details, Bank statement","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Fees and service charge, Brand of the lender, Security, trust, and discretion",Mobile app,Scammers,"Word of mouth referrals, Advertising, Social media",Male,3n1btwz
44782.51132,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Rent the property,South South,"To have my own business, To grow my current business, To buy my first property, To generate multiple sources of income",No,Yes,"Finance Houses, Microfinance Banks, Digital Lenders","Money Lenders, Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, To start a new business",Formal loan from a commercial bank,High interest rates,"Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Fees and service charge, Security, trust, and discretion",Mobile app,"Fairmoney, irorun, Lcredit","Word of mouth referrals, Advertising",Male,obx9v4ontk
44779.93946,Yes,18 - 24,Single,University education,Part-time employed,"N50,000 - N100,000",Myself only,None,Rent the property,Lagos,To have my own business,Yes,Yes,Microfinance Banks,Microfinance Banks,To start a new business,"Formal loan from a commercial bank, Micro financing, Digital lenders, Informal lenders","High interest rates, The risk of getting into debt","Home address, Work information, Bank statement, Guarantor details","Lack of knowledge, e.g. I don’t know how to, Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of not having money to repay the loan","Speed, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Micro financial ,"Advertising, Social media",Male,fhdaf02
44780.55686,Yes,25 - 34,Single,Secondary education,Full-time employed,"N50,000 - N100,000",Myself only,Parents,Rent the property,North Central,"To have my own business, To invest more than I am already investing",Yes,Yes,Microfinance Banks,"Microfinance Banks, Informal Lenders (Ajo, Corporative)",To start a new business,Formal loan from a commercial bank,Providing collateral,Home address,Lack of the requirements to take out loan,"Speed, Financial stability, Financial assistance and coaching",Branch,Branch,"Word of mouth referrals, Direct marketing, Social media",Male,nag94i2
44779.71068,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,Parents,Rent the property,Lagos,To generate multiple sources of income,Yes,Yes,Money Lenders,Money Lenders,To expand your current business,"Formal loan from a commercial bank, Micro financing",High interest rates,Home address,I don’t have a barrier,"Interest rates, Financial stability, Security, trust, and discretion",Mobile app,Fairmoney,Social media,Male,wmmw012
44781.3497,Yes,40 - 44,Married,University education,Self-employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,Lagos,"To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income",No,Yes,"Microfinance Banks, Digital Lenders",Digital Lenders,To expand your current business,"Formal loan from a commercial bank, Digital lenders","High interest rates, The risk of getting into debt, Getting approval for the loan",Home address,I don’t have a barrier,"Interest rates, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Branch,"Word of mouth referrals, Advertising, Social media",Male,dndy1qj
44779.6848,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",My parents make the decision,Parents,Rent the property,South East,To grow my current business,Yes,Yes,"Commercial Banks, Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,Digital lenders,High interest rates,Bank statement,The instability of the economy,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Digital banks ,Social media,Male,go3scb3
44782.75782,Yes,25 - 34,Single,Post-graduate education,Full-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,South East,"To grow my current business, To increase the number of personal assets I own",No,No,"Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders",None,"To meet a cash gap before next pay day, For cash flow","Formal loan from a commercial bank, Digital lenders","High interest rates, Getting approval for the loan",Bank statement,I don’t have a barrier,"Speed, Interest rates, Convenience and customer service",Mobile app,lender,"Advertising, Social media, Face to face",Male,33vpv2s
44779.70357,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",My parents make the decision,Parents,Live with parents or guardian,North West,"To have my own business, To grow my current business, To invest more than I am already investing",No,No,Microfinance Banks,None,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Family and friends",Getting approval for the loan,Home address,Fear of debt,"Financial stability, Financial assistance and coaching",Mobile app,Iroron,Social media,Male,hds8u66
44779.72985,Yes,25 - 34,Single,University education,Not working,"N0 - N50,000",Someone else makes the decision,Parents,Live rent-free,Lagos,To generate multiple sources of income,No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks",Microfinance Banks,To meet a cash gap before next pay day,Formal loan from a commercial bank,"Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",Lack of the requirements to take out loan,"Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion",Mobile app,Branch International ,"Advertising, Direct marketing",Male,o3dpekf
44779.71269,Yes,18 - 24,Single,University education,Full-time employed,"N0 - N50,000",Myself only,Parents,Rent the property,Abuja,"To have my own business, To buy my first property, To leave Nigeria",Yes,Yes,"Microfinance Banks, Informal Lenders (Ajo, Corporative)",Microfinance Banks,To pay for a medical need,Micro financing,High interest rates,"Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Mobile app,Advertising,Female,od2ky7f
44780.70057,Yes,25 - 34,Married,College education,Self-employed,"N0 - N50,000",My partner and I make joint decisions,Children under the age of 18,Own the property,North Central,To grow my current business,No,Yes,Microfinance Banks,Microfinance Banks,To expand your current business,Digital lenders,Getting approval for the loan,Home address,I don’t have a barrier,"Security, trust, and discretion",Mobile app,Anyone that is reliable and trustworthy.,Social media,Female,s2dp8w8
44781.85744,Yes,18 - 24,Single,University education,Student,"N50,000 - N100,000",My partner and I make joint decisions,None,Live rent-free,Abuja,To have my own business,Yes,Yes,Microfinance Banks, Access bank ,To expand your current business,Formal loan from a commercial bank,High interest rates,Salary details,Fear of debt,"Fees and service charge, Financial assistance and coaching",Branch,Change ,Face to face,Male,i26h2d6
44779.80758,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Own the property,North West,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,No,"Money Lenders, Microfinance Banks","Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, To pay for school fees, To buy a phone or laptop, To start a new business, To expand your current business, Buying a car, Buying a home, For cash flow","Formal loan from a commercial bank, Micro financing, Digital lenders, Family and friends","Onboarding process, Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Lack of knowledge, e.g. I don’t know how to, Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Fees and service charge",Mobile app,Irorun,"Word of mouth referrals, Advertising, Direct marketing, Social media",Male,6eqqukd
44781.69198,Yes,25 - 34,Single,Post-graduate education,Full-time employed,"N50,000 - N100,000",Myself only,Parents,Rent the property,North East,To be able to invest,No,No,Money Lenders,Money Lenders,To pay for school fees,Family and friends,High interest rates,Salary details,Fear of debt,Interest rates,Website,Irorun ,Social media,Male,04mnr8t6yd
44779.75295,Yes,18 - 24,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Own the property,North East,To grow my current business,No,No,Microfinance Banks,Microfinance Banks,To expand your current business,Micro financing,Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,Fees and service charge,Branch,Irorun ,Direct marketing,Male,7paryf9
44780.71491,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",My partner plays a small role but it is mostly up to me,Parents,Live with parents or guardian,Abuja,"To have my own business, To be able to invest",Yes,Yes,"Commercial Banks, Finance Houses","Money Lenders, Microfinance Banks","To meet a cash gap before next pay day, To pay for school fees",Formal loan from a commercial bank,Getting approval for the loan,"Home address, Salary details, Guarantor details",Fear of not having money to repay the loan,"Speed, Digital onboarding and experience, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Abuja branch,"Word of mouth referrals, Direct marketing",Male,w3h4g77
44779.79395,Yes,25 - 34,Single,University education,Full-time employed,"N500,000 - N1,000,000",Myself only,Parents,Own the property,South East,To have my own business,No,No,Microfinance Banks,Microfinance Banks,To pay for a medical need,Micro financing,High interest rates,Guarantor details,Fear of debt,Interest rates,Mobile app,Oruru,Advertising,Male,1s63ng7
44779.79585,Yes,25 - 34,Single,University education,Full-time employed,"N300,000 - N500,000",Myself only,Parents,Own the property,South West,To have my own business,No,No,Microfinance Banks,Microfinance Banks,To pay for a medical need,Micro financing,Providing collateral,Guarantor details,Lack of the requirements to take out loan,Brand of the lender,Mobile app,Good fltat ,Advertising,Male,64u75ozoga
44780.74146,Yes,18 - 24,Single,University education,Self-employed,"N50,000 - N100,000",Someone else makes the decision,None,Live rent-free,Abuja,"To invest more than I am already investing, To buy my first property",No,Yes,Digital Lenders,None,"To meet a cash gap before next pay day, For cash flow",Family and friends,Onboarding process,"Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Fees and service charge",Mobile app,Irorun,Social media,Male,486duy0
44787.46554,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,To have my own business,Yes,Yes,Commercial Banks,Commercial Banks,To start a new business,Formal loan from a commercial bank,High interest rates,Bank statement,I don’t have a barrier,Speed,Website,To have a good lenders,Direct marketing,Male,1ue5x9nhlo
44780.74899,Yes,45 - 49,Married,University education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Own the property,North East,To be able to invest,No,Yes,"Commercial Banks, Money Lenders, Digital Lenders","Commercial Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for school fees, To start a new business","Formal loan from a commercial bank, Micro financing, Digital lenders","Providing collateral, High interest rates, Short tenor period",Salary details,"Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Security, trust, and discretion",Mobile app,Mobile app lenders,"Advertising, Social media",Male,t8knaqgokg
44779.86773,Yes,18 - 24,Single,Secondary education,Self-employed,"N300,000 - N500,000",My parents make the decision,Parents,Own the property,Lagos,To grow my current business,Yes,Yes,Money Lenders,None,To expand your current business,Formal loan from a commercial bank,Getting approval for the loan,Bank statement,"Lack of the requirements to take out loan, I don’t have a barrier",Financial stability,Mobile app,Yes,Direct marketing,Male,r00ujizliw
44782.99605,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Own the property,North West,To have my own business,No,No,Finance Houses,Finance Houses,To pay for school fees,Family and friends,High interest rates,Home address,The instability of the economy,Interest rates,Website,Good ,Social media,Male,h9ro8k4
44780.70471,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",My parents make the decision,Parents,Own the property,North Central,To grow my current business,Yes,No,"Money Lenders, Microfinance Banks",None,To pay for a medical need,Family and friends,"High interest rates, The risk of getting into debt",Guarantor details,"Fear of debt, Lack of the requirements to take out loan","Speed, Interest rates, Fees and service charge",Mobile app,Non actually. I don't have anyone in mind,"Advertising, Direct marketing",Female,htivax5
44782.57057,Yes,25 - 34,Single,College education,Self-employed,"N300,000 - N500,000",Myself only,Parents,Rent the property,North West,To grow my current business,No,Yes,"Money Lenders, Microfinance Banks","Money Lenders, Microfinance Banks",To expand your current business,Micro financing,Getting approval for the loan,Bank statement,Fear of being embarrassed by the lender,"Speed, Interest rates, Convenience and customer service",Mobile app,Fairmoney,Social media,Male,wtwppjq
44780.92099,Yes,18 - 24,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Own the property,South East,"To have my own business, To invest more than I am already investing, To generate multiple sources of income",No,No,Commercial Banks,None,To start a new business,"Digital lenders, Family and friends","Providing collateral, The risk of getting into debt",Bank statement,"Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Agent-led onboarding, Brand of the lender, Security, trust, and discretion",Agent,Microfinance bank ,"Direct marketing, Face to face",Male,0vlgeie4s9
